chloramine,chromium,bacteria,viruses,perchlorate,silver
1.85,0.15,0.86,0.86,46.24,0.14
3.32,0.79,0.58,0.58,30.98,0.32
4.25,0.19,0.87,0.87,34.48,0.21
2.38,0.17,0.7,0.7,10.88,0.11
1.89,0.69,0.55,0.55,39.05,0.38
0.46,0.02,0.14,0.006,27.85,0.45
4.8,0.33,0.45,0.006,58.4,0.06
4.59,0.85,0.75,0.75,10.75,0.27
6.25,0.61,0.51,0.51,31.57,0.17
4.54,0.72,1.0,1.0,33.09,0.16
5.22,0.84,0.23,0.006,6.87,0.03
1.86,0.81,0.47,0.0,10.62,0.38
7.37,0.46,0.58,0.58,33.02,0.42
7.36,0.15,0.51,0.51,30.29,0.34
3.07,0.11,0.33,0.001,3.47,0.47
2.89,0.69,0.67,0.67,28.47,0.12
3.58,0.47,0.82,0.82,32.48,0.31
6.75,0.09,0.09,0.005,25.77,0.1
7.97,0.25,0.53,0.53,33.97,0.05
3.2,0.42,0.65,0.65,45.87,0.12
3.11,0.52,0.75,0.75,45.37,0.29
1.33,0.32,0.28,0.009,22.9,0.03
4.43,0.84,0.19,0.008,50.87,0.02
6.6,0.7,0.7,0.7,35.36,0.38
0.63,0.3,0.78,0.78,33.24,0.4
5.07,0.33,0.75,0.75,21.38,0.38
5.14,0.29,0.02,0.0,50.04,0.11
0.4,0.24,0.57,0.57,58.58,0.2
4.13,0.7,0.55,0.55,37.15,0.01
2.52,0.46,0.09,0.008,14.55,0.09
3.71,0.47,0.82,0.82,4.28,0.5
2.78,0.04,0.41,0.003,46.06,0.4
1.87,0.16,0.76,0.76,15.3,0.41
4.43,0.63,0.08,0.008,23.84,0.22
4.3,0.82,0.04,0.003,0.91,0.2
7.09,0.47,0.46,0.003,29.38,0.35
2.26,0.03,0.28,0.005,1.02,0.28
0.41,0.39,0.61,0.61,53.02,0.37
3.42,0.03,0.1,0.001,42.15,0.11
0.01,0.34,0.62,0.62,49.82,0.03
5.65,0.08,0.71,0.71,6.89,0.46
5.72,0.45,0.18,0.003,49.49,0.34
0.89,0.2,0.96,0.96,35.76,0.15
1.57,0.45,0.5,0.5,8.41,0.32
2.74,0.8,0.5,0.5,11.49,0.11
0.79,0.34,0.5,0.5,47.93,0.01
7.8,0.4,0.42,0.006,37.72,0.21
3.49,0.8,0.33,0.006,57.74,0.28
3.83,0.14,0.07,0.006,53.68,0.43
3.81,0.15,0.59,0.59,50.93,0.39
1.69,0.27,0.79,0.79,53.23,0.44
5.07,0.19,1.0,1.0,45.26,0.28
6.21,0.0,0.15,0.005,18.68,0.0
1.07,0.13,0.28,0.004,17.62,0.4
0.5,0.77,0.78,0.78,46.26,0.12
3.95,0.8,0.33,0.001,22.76,0.16
7.59,0.19,0.27,0.008,20.28,0.41
0.98,0.23,0.98,0.98,21.22,0.44
4.95,0.15,0.87,0.87,25.15,0.44
0.8,0.26,0.44,0.004,16.42,0.03
5.29,0.3,0.83,0.83,48.81,0.18
2.45,0.19,0.07,0.008,17.53,0.31
1.36,0.68,0.28,0.003,19.33,0.18
0.05,0.03,0.51,0.51,51.61,0.14
6.5,0.8,0.31,0.004,14.24,0.44
6.75,0.43,0.48,0.009,19.6,0.27
4.68,0.35,0.09,0.006,44.04,0.42
5.1,0.38,0.69,0.69,47.56,0.14
3.61,0.59,0.52,0.52,15.98,0.02
4.23,0.49,0.68,0.68,53.72,0.3
0.81,0.33,0.01,0.0,20.14,0.13
4.06,0.28,0.73,0.73,44.88,0.24
4.42,0.76,0.11,0.005,10.72,0.33
7.95,0.03,0.44,0.003,40.33,0.3
6.45,0.07,0.79,0.79,46.13,0.31
0.09,0.19,0.8,0.8,18.43,0.05
3.26,0.26,0.07,0.005,1.25,0.04
0.85,0.59,0.7,0.7,22.58,0.42
7.12,0.13,0.61,0.61,33.89,0.11
3.69,0.37,0.39,0.001,53.46,0.48
3.41,0.21,0.22,0.003,4.72,0.42
3.1,0.79,0.21,0.004,21.12,0.15
1.53,0.86,0.67,0.67,3.24,0.4
2.4,0.05,0.05,0.003,47.47,0.36
1.67,0.77,0.92,0.92,53.91,0.23
2.13,0.41,0.49,0.007,42.0,0.35
3.08,0.66,0.34,0.006,16.0,0.42
7.91,0.32,1.0,1.0,4.59,0.04
5.23,0.86,0.32,0.004,56.44,0.27
0.07,0.84,0.58,0.58,27.95,0.23
6.2,0.03,0.18,0.005,43.4,0.27
5.48,0.33,0.74,0.74,15.96,0.14
0.67,0.72,0.72,0.72,34.97,0.25
3.91,0.49,0.08,0.001,32.94,0.03
5.07,0.05,0.18,0.001,43.64,0.36
4.95,0.22,0.02,0.002,33.8,0.15
4.98,0.55,0.58,0.58,57.83,0.26
0.4,0.21,0.56,0.56,4.51,0.2
0.97,0.18,0.43,0.003,31.61,0.25
4.69,0.65,0.7,0.7,40.53,0.01
1.49,0.86,0.31,0.007,37.89,0.07
0.54,0.63,0.09,0.008,36.15,0.03
4.4,0.09,0.14,0.007,47.29,0.18
2.8,0.34,0.93,0.93,45.98,0.28
7.47,0.79,0.75,0.75,23.82,0.39
2.91,0.51,0.48,0.007,30.36,0.09
0.88,0.04,0.72,0.72,0.54,0.42
5.92,0.71,0.19,0.004,33.58,0.01
6.8,0.09,0.28,0.001,30.86,0.03
1.81,0.11,0.85,0.85,52.71,0.32
2.45,0.67,0.76,0.76,36.42,0.17
3.58,0.7,0.77,0.77,41.01,0.47
3.91,0.07,0.66,0.66,59.31,0.32
7.51,0.28,0.36,0.003,19.55,0.02
0.92,0.79,0.17,0.001,45.82,0.31
6.29,0.41,0.48,0.008,27.45,0.1
5.54,0.21,0.82,0.82,29.14,0.2
5.92,0.47,0.6,0.6,6.22,0.12
2.58,0.65,0.98,0.98,44.03,0.17
5.83,0.85,0.49,0.003,21.46,0.08
7.88,0.27,0.21,0.007,57.4,0.22
4.37,0.33,0.89,0.89,56.34,0.33
5.17,0.86,0.37,0.006,48.75,0.15
6.13,0.87,0.79,0.79,26.27,0.13
6.9,0.77,0.73,0.73,27.32,0.49
4.36,0.36,0.91,0.91,30.49,0.33
7.14,0.38,0.51,0.51,38.05,0.15
5.25,0.06,0.51,0.51,42.85,0.03
7.41,0.23,0.99,0.99,59.74,0.18
7.24,0.47,0.29,0.004,25.81,0.3
4.54,0.24,0.1,0.002,24.01,0.37
1.44,0.08,0.39,0.008,32.55,0.04
0.0,0.54,0.31,0.001,23.58,0.08
7.33,0.43,0.97,0.97,27.53,0.08
1.02,0.04,0.26,0.003,41.43,0.27
6.81,0.03,0.61,0.61,37.64,0.06
5.99,0.86,0.87,0.87,28.79,0.24
4.62,0.72,0.08,0.005,40.52,0.04
3.62,0.79,0.92,0.92,47.78,0.29
5.23,0.68,0.74,0.74,1.89,0.19
4.57,0.23,0.05,0.008,8.3,0.34
6.69,0.17,1.0,1.0,2.43,0.48
6.52,0.32,0.26,0.002,47.92,0.11
0.83,0.52,0.13,0.005,29.73,0.47
6.93,0.4,0.23,0.002,5.44,0.33
4.73,0.41,0.5,0.5,54.28,0.42
0.68,0.3,0.49,0.008,55.65,0.22
5.34,0.88,0.83,0.83,28.71,0.04
0.89,0.52,0.66,0.66,44.82,0.46
2.84,0.06,0.63,0.63,22.15,0.07
6.11,0.14,0.15,0.003,30.91,0.49
3.45,0.69,0.3,0.006,35.17,0.05
5.21,0.73,0.93,0.93,42.94,0.49
3.71,0.12,0.99,0.99,36.59,0.44
2.79,0.02,0.46,0.008,50.43,0.03
2.1,0.74,0.24,0.004,16.9,0.44
1.83,0.56,0.17,0.0,5.67,0.12
6.81,0.87,0.1,0.001,26.88,0.07
4.06,0.42,0.93,0.93,52.16,0.45
5.42,0.73,0.91,0.91,31.02,0.01
7.02,0.63,0.75,0.75,16.39,0.49
7.96,0.76,0.59,0.59,30.25,0.35
7.07,0.52,0.25,0.001,7.96,0.43
6.55,0.06,0.48,0.003,14.91,0.17
6.76,0.28,0.79,0.79,12.99,0.33
1.66,0.33,0.62,0.62,34.46,0.28
3.5,0.1,0.61,0.61,24.76,0.05
7.16,0.15,0.5,0.5,55.86,0.24
6.04,0.68,0.44,0.008,38.64,0.1
6.47,0.08,0.36,0.005,54.05,0.48
6.99,0.61,0.86,0.86,27.75,0.05
1.37,0.65,0.37,0.007,0.58,0.49
7.75,0.06,0.19,0.0,18.1,0.26
3.47,0.4,0.95,0.95,13.09,0.19
7.17,0.01,0.35,0.004,2.43,0.47
2.16,0.55,0.64,0.64,53.73,0.01
6.68,0.8,0.39,0.003,22.17,0.36
1.48,0.18,0.68,0.68,13.46,0.38
1.09,0.4,0.57,0.57,4.89,0.22
0.57,0.32,0.65,0.65,27.31,0.32
1.87,0.69,0.66,0.66,40.92,0.07
4.6,0.04,0.96,0.96,10.82,0.4
5.67,0.68,0.78,0.78,6.7,0.32
4.01,0.16,0.84,0.84,47.44,0.09
3.74,0.41,0.9,0.9,29.96,0.19
5.06,0.47,0.77,0.77,1.09,0.04
0.75,0.39,0.28,0.007,1.17,0.02
7.55,0.33,0.37,0.007,25.93,0.23
0.76,0.85,0.58,0.58,25.43,0.33
1.77,0.76,0.96,0.96,11.2,0.15
3.61,0.26,0.15,0.003,17.72,0.27
1.63,0.58,0.22,0.007,32.91,0.16
5.61,0.2,0.72,0.72,8.7,0.07
3.33,0.3,0.38,0.006,0.31,0.06
2.74,0.04,0.87,0.87,49.18,0.18
1.98,0.78,0.77,0.77,50.66,0.16
0.49,0.25,0.56,0.56,53.96,0.21
1.6,0.61,0.78,0.78,55.41,0.04
6.56,0.18,0.31,0.008,19.37,0.38
6.78,0.12,0.23,0.004,29.28,0.24
3.04,0.19,0.65,0.65,21.67,0.4
1.26,0.04,0.24,0.003,51.76,0.49
5.95,0.02,0.66,0.66,24.8,0.17
4.38,0.28,0.5,0.5,35.86,0.12
7.83,0.03,0.56,0.56,48.7,0.05
7.43,0.05,0.61,0.61,38.2,0.06
0.71,0.1,0.68,0.68,14.31,0.49
6.03,0.45,0.59,0.59,25.55,0.4
5.58,0.12,0.93,0.93,38.36,0.15
3.0,0.18,0.3,0.005,33.34,0.47
3.25,0.86,0.25,0.008,19.09,0.39
4.79,0.2,0.41,0.002,29.45,0.31
5.23,0.22,0.12,0.006,13.86,0.27
3.49,0.13,0.37,0.004,48.1,0.15
3.48,0.78,0.3,0.008,27.89,0.27
6.66,0.6,0.64,0.64,21.92,0.16
6.84,0.67,0.64,0.64,19.99,0.27
7.58,0.71,0.92,0.92,29.4,0.2
3.95,0.56,0.75,0.75,24.98,0.42
2.63,0.4,0.65,0.65,55.04,0.48
2.2,0.88,0.58,0.58,0.34,0.01
2.11,0.65,0.31,0.002,18.2,0.37
7.99,0.83,0.35,0.004,33.16,0.25
4.78,0.38,0.89,0.89,30.01,0.5
4.73,0.41,0.25,0.003,56.08,0.45
2.37,0.76,0.36,0.003,23.35,0.11
5.68,0.77,0.62,0.62,41.09,0.29
0.19,0.65,0.33,0.005,31.36,0.04
6.49,0.82,0.56,0.56,47.74,0.21
4.22,0.01,0.49,0.001,13.89,0.18
1.91,0.54,0.32,0.002,13.01,0.12
6.37,0.54,0.15,0.002,45.65,0.37
3.67,0.17,0.21,0.001,41.46,0.1
7.89,0.43,0.92,0.92,53.71,0.38
5.4,0.1,0.53,0.53,12.9,0.38
2.21,0.57,0.09,0.006,27.88,0.24
1.42,0.77,0.84,0.84,12.94,0.03
4.84,0.24,0.03,0.005,27.6,0.39
3.7,0.49,0.29,0.006,18.51,0.18
3.79,0.64,0.73,0.73,33.01,0.04
6.89,0.56,0.77,0.77,31.13,0.32
0.29,0.74,0.69,0.69,52.69,0.26
7.18,0.49,0.25,0.002,3.49,0.24
0.71,0.48,0.19,0.005,33.01,0.05
3.44,0.84,0.68,0.68,39.41,0.09
2.67,0.46,0.59,0.59,36.62,0.23
4.02,0.15,0.42,0.005,36.04,0.2
6.12,0.49,0.4,0.003,13.03,0.1
7.12,0.06,0.62,0.62,2.63,0.17
0.1,0.57,0.28,0.004,7.62,0.15
1.27,0.38,0.25,0.007,33.17,0.1
0.83,0.36,0.71,0.71,44.16,0.23
7.65,0.3,0.79,0.79,27.56,0.1
1.37,0.49,0.14,0.0,47.65,0.37
3.67,0.14,0.15,0.002,14.7,0.18
6.62,0.17,0.18,0.001,41.0,0.4
2.13,0.46,0.7,0.7,50.82,0.28
2.5,0.62,0.2,0.008,31.62,0.48
5.98,0.32,0.95,0.95,1.12,0.02
6.29,0.35,0.44,0.001,46.36,0.36
4.76,0.17,0.03,0.006,36.46,0.07
6.98,0.05,0.35,0.001,29.81,0.24
3.23,0.07,0.39,0.005,30.21,0.43
1.87,0.07,0.32,0.002,40.27,0.35
7.18,0.07,0.59,0.59,32.35,0.21
4.93,0.62,0.39,0.008,8.56,0.29
3.03,0.25,0.15,0.004,41.01,0.45
5.6,0.37,0.97,0.97,3.3,0.35
7.0,0.63,0.09,0.006,53.06,0.03
6.59,0.58,0.22,0.004,55.79,0.13
1.8,0.53,0.03,0.003,42.43,0.12
3.05,0.32,0.58,0.58,15.21,0.47
2.17,0.21,0.37,0.001,56.76,0.27
1.7,0.47,0.04,0.003,46.85,0.45
2.95,0.47,0.89,0.89,41.04,0.4
7.51,0.4,0.46,0.007,6.36,0.26
0.73,0.47,0.95,0.95,40.62,0.29
7.44,0.65,0.75,0.75,25.23,0.23
6.3,0.31,0.14,0.002,49.72,0.0
0.53,0.8,0.7,0.7,44.84,0.33
6.37,0.89,0.8,0.8,9.33,0.13
4.52,0.18,0.55,0.55,4.32,0.15
4.99,0.67,0.1,0.008,16.21,0.02
1.12,0.17,0.41,0.006,46.84,0.03
4.41,0.18,0.15,0.001,30.24,0.41
6.69,0.51,0.74,0.74,25.62,0.16
5.66,0.01,0.49,0.007,43.27,0.36
4.95,0.64,0.74,0.74,35.75,0.46
6.17,0.11,0.38,0.002,51.54,0.06
1.54,0.82,0.28,0.002,6.92,0.44
4.34,0.69,0.85,0.85,11.04,0.48
3.31,0.4,0.48,0.006,10.0,0.26
2.2,0.29,0.01,0.007,5.87,0.09
7.38,0.3,0.6,0.6,34.99,0.04
6.25,0.88,0.57,0.57,48.88,0.09
4.86,0.66,0.85,0.85,17.68,0.45
4.78,0.04,0.45,0.005,43.22,0.01
6.37,0.1,0.58,0.58,24.09,0.19
1.94,0.51,0.18,0.004,42.69,0.07
7.82,0.26,0.31,0.009,42.34,0.05
4.16,0.36,0.55,0.55,32.15,0.09
4.87,0.35,0.11,0.003,40.12,0.05
1.1,0.65,0.26,0.001,39.65,0.08
2.05,0.1,0.91,0.91,6.17,0.37
5.81,0.26,0.4,0.0,53.85,0.28
1.68,0.35,0.03,0.007,44.54,0.13
1.75,0.33,0.32,0.001,0.4,0.14
6.31,0.55,0.26,0.006,39.22,0.06
5.23,0.3,0.05,0.009,6.97,0.12
7.93,0.83,0.4,0.008,1.05,0.17
3.09,0.37,0.44,0.005,9.67,0.31
7.24,0.4,0.36,0.003,50.04,0.45
1.41,0.46,0.25,0.002,36.36,0.23
3.01,0.65,0.02,0.003,13.75,0.12
6.9,0.32,0.2,0.003,15.52,0.41
7.85,0.89,0.75,0.75,57.96,0.26
3.15,0.37,0.24,0.003,5.72,0.08
7.34,0.5,0.51,0.51,59.19,0.28
6.06,0.46,0.51,0.51,12.48,0.38
5.3,0.2,0.01,0.001,3.99,0.3
4.33,0.71,0.34,0.004,29.35,0.45
3.23,0.56,0.15,0.002,37.41,0.25
0.26,0.7,0.23,0.004,10.01,0.3
7.25,0.84,0.36,0.005,15.29,0.29
4.62,0.61,0.79,0.79,47.83,0.27
6.64,0.59,0.26,0.006,58.63,0.06
5.98,0.7,0.94,0.94,24.13,0.36
7.97,0.53,0.02,0.001,46.99,0.16
3.67,0.29,0.2,0.005,24.98,0.45
4.49,0.73,0.51,0.51,22.0,0.31
1.19,0.02,0.83,0.83,26.22,0.18
0.8,0.15,0.54,0.54,55.9,0.18
3.66,0.85,0.2,0.007,14.24,0.45
3.65,0.33,0.73,0.73,52.9,0.12
7.17,0.5,0.09,0.007,8.62,0.08
0.48,0.32,0.59,0.59,50.02,0.16
2.2,0.3,0.65,0.65,12.93,0.2
6.12,0.65,0.32,0.008,10.44,0.07
4.37,0.2,0.24,0.002,55.07,0.12
4.91,0.66,0.8,0.8,11.36,0.39
5.38,0.2,0.36,0.0,27.25,0.42
7.83,0.16,0.52,0.52,21.94,0.27
6.44,0.45,0.29,0.001,29.98,0.09
5.56,0.16,0.03,0.005,51.19,0.13
5.61,0.58,0.37,0.001,28.58,0.37
2.59,0.73,0.57,0.57,39.12,0.39
2.99,0.72,0.4,0.008,9.33,0.27
1.64,0.04,0.28,0.005,41.93,0.47
5.42,0.58,0.69,0.69,16.55,0.22
7.35,0.52,0.67,0.67,35.65,0.16
4.86,0.35,0.41,0.0,5.91,0.18
2.55,0.88,0.74,0.74,40.92,0.13
0.63,0.36,0.44,0.007,3.23,0.42
5.17,0.37,0.3,0.005,16.85,0.21
0.45,0.57,0.28,0.002,13.3,0.29
4.08,0.82,0.53,0.53,9.72,0.42
4.81,0.67,0.1,0.007,25.89,0.21
0.17,0.5,0.59,0.59,1.22,0.05
4.18,0.12,0.06,0.001,42.49,0.38
4.9,0.82,0.17,0.0,47.65,0.12
0.59,0.27,0.42,0.003,35.48,0.05
6.1,0.7,0.72,0.72,7.63,0.29
1.77,0.34,0.21,0.001,38.32,0.32
7.0,0.57,0.36,0.002,44.79,0.37
6.42,0.33,0.76,0.76,3.17,0.32
0.88,0.73,0.42,0.009,29.85,0.39
4.27,0.52,0.44,0.007,4.27,0.33
6.95,0.85,0.39,0.002,16.75,0.42
1.41,0.01,0.72,0.72,54.78,0.07
3.99,0.19,0.85,0.85,33.56,0.23
7.96,0.2,0.98,0.98,8.75,0.18
2.38,0.01,0.53,0.53,47.83,0.24
2.83,0.09,0.79,0.79,26.42,0.04
2.46,0.24,0.06,0.005,4.51,0.12
7.78,0.61,0.05,0.002,23.26,0.06
6.53,0.9,0.48,0.007,44.08,0.3
2.16,0.8,0.28,0.003,20.86,0.27
2.83,0.48,0.36,0.008,36.49,0.1
7.57,0.15,0.99,0.99,37.78,0.03
3.54,0.45,0.74,0.74,38.53,0.16
1.39,0.3,0.35,0.004,33.29,0.15
4.57,0.51,0.89,0.89,11.39,0.41
3.15,0.76,0.13,0.002,36.32,0.33
4.71,0.19,1.0,1.0,15.73,0.49
6.48,0.49,0.72,0.72,5.74,0.49
2.73,0.39,0.93,0.93,38.53,0.27
0.06,0.46,0.07,0.001,19.53,0.48
4.26,0.89,0.29,0.0,56.24,0.3
4.36,0.84,0.2,0.008,33.11,0.45
2.03,0.23,0.27,0.002,46.79,0.36
5.45,0.7,0.57,0.57,48.33,0.1
1.58,0.86,0.43,0.008,38.15,0.25
6.24,0.41,0.07,0.008,37.72,0.15
2.77,0.09,0.1,0.005,42.47,0.33
3.93,0.69,0.55,0.55,49.97,0.29
4.77,0.74,0.76,0.76,55.9,0.38
7.79,0.65,0.33,0.005,3.43,0.26
1.43,0.35,0.99,0.99,27.25,0.25
1.73,0.64,0.69,0.69,31.08,0.32
6.89,0.41,0.84,0.84,16.31,0.19
0.81,0.83,0.51,0.51,18.64,0.02
6.93,0.41,0.42,0.0,23.22,0.23
6.27,0.23,0.67,0.67,38.04,0.25
5.85,0.75,0.21,0.006,26.57,0.15
5.14,0.61,0.44,0.007,3.3,0.06
6.71,0.48,0.63,0.63,1.87,0.08
1.3,0.79,0.14,0.001,31.63,0.2
1.78,0.48,0.84,0.84,31.24,0.42
5.24,0.61,0.81,0.81,14.78,0.44
5.89,0.73,0.58,0.58,20.9,0.26
1.23,0.77,0.45,0.001,0.74,0.33
5.47,0.54,0.94,0.94,25.95,0.06
3.29,0.46,0.77,0.77,29.0,0.25
4.07,0.56,0.87,0.87,26.15,0.16
7.59,0.34,0.22,0.002,56.89,0.18
4.18,0.53,0.19,0.001,2.08,0.07
4.15,0.48,0.75,0.75,55.52,0.46
4.42,0.59,0.26,0.002,56.76,0.2
0.81,0.05,0.64,0.64,0.33,0.06
0.71,0.24,0.6,0.6,37.13,0.3
5.57,0.19,0.74,0.74,3.14,0.41
1.88,0.15,0.79,0.79,25.68,0.33
7.3,0.55,0.18,0.008,6.43,0.03
4.16,0.54,0.39,0.009,18.77,0.1
2.94,0.16,0.92,0.92,52.24,0.28
7.02,0.16,0.69,0.69,39.03,0.25
3.48,0.62,0.22,0.002,48.67,0.28
2.0,0.13,0.76,0.76,38.64,0.37
4.11,0.28,0.75,0.75,20.55,0.1
3.42,0.82,0.63,0.63,38.27,0.45
4.36,0.17,0.4,0.002,51.02,0.2
3.51,0.36,0.18,0.007,15.84,0.34
6.29,0.52,0.94,0.94,38.74,0.38
5.42,0.43,0.99,0.99,43.63,0.13
7.97,0.49,0.6,0.6,55.54,0.46
7.21,0.55,0.65,0.65,15.26,0.48
6.26,0.56,0.07,0.008,29.3,0.18
4.51,0.75,0.16,0.001,24.73,0.49
1.74,0.7,0.87,0.87,14.49,0.47
4.75,0.49,0.61,0.61,34.68,0.24
6.81,0.87,0.2,0.002,22.43,0.2
0.12,0.02,0.39,0.001,23.36,0.39
4.07,0.83,0.91,0.91,38.6,0.06
1.03,0.13,0.1,0.001,59.26,0.07
2.4,0.3,0.97,0.97,15.47,0.21
4.52,0.52,0.86,0.86,18.03,0.4
6.99,0.21,0.63,0.63,14.71,0.28
7.17,0.27,0.18,0.007,15.81,0.47
1.22,0.52,0.61,0.61,18.52,0.05
6.13,0.29,0.78,0.78,51.29,0.03
7.87,0.37,0.9,0.9,43.08,0.04
0.25,0.45,0.89,0.89,58.29,0.16
4.1,0.11,0.31,0.005,28.03,0.33
7.21,0.06,0.55,0.55,22.69,0.49
7.22,0.24,0.49,0.005,48.15,0.28
1.04,0.64,0.93,0.93,15.42,0.03
2.29,0.88,0.7,0.7,40.75,0.42
5.67,0.84,0.22,0.006,2.88,0.02
3.31,0.86,0.92,0.92,18.88,0.3
4.74,0.14,0.75,0.75,21.35,0.23
0.21,0.85,0.53,0.53,25.24,0.27
0.6,0.8,0.69,0.69,6.86,0.42
2.16,0.1,0.32,0.002,0.48,0.09
0.4,0.37,0.19,0.001,15.8,0.42
5.59,0.79,0.36,0.004,33.71,0.22
1.67,0.2,0.74,0.74,17.72,0.45
4.37,0.88,0.26,0.009,48.33,0.34
3.47,0.41,0.06,0.007,55.2,0.14
0.2,0.18,0.03,0.008,0.9,0.43
4.03,0.59,0.86,0.86,53.34,0.37
0.66,0.53,0.84,0.84,41.1,0.37
5.35,0.13,0.83,0.83,7.6,0.35
1.09,0.33,0.15,0.001,28.44,0.5
3.41,0.43,0.23,0.001,53.36,0.38
3.04,0.68,0.85,0.85,42.98,0.27
0.37,0.65,0.95,0.95,39.82,0.32
2.14,0.39,0.65,0.65,17.04,0.42
6.16,0.37,0.73,0.73,36.11,0.33
6.0,0.78,0.02,0.007,6.39,0.11
1.84,0.32,0.21,0.005,17.62,0.11
0.23,0.36,0.42,0.006,2.16,0.49
4.02,0.08,0.08,0.008,24.43,0.18
3.96,0.4,0.4,0.007,5.89,0.41
5.68,0.25,0.13,0.009,5.35,0.36
5.12,0.13,0.78,0.78,30.09,0.12
0.78,0.9,0.55,0.55,11.52,0.19
1.36,0.67,0.75,0.75,17.71,0.02
4.7,0.62,0.19,0.003,24.82,0.25
4.34,0.72,0.89,0.89,57.87,0.13
